"tipo_pista";"fase_dia";"total_acidentes";"acidentes_fatais";"cobertura_perc";"perc_fatais"
"Simples";"Amanhecer";"1803";"264";"2.49";"14.64"
"Simples";"Plena Noite";"12244";"1610";"16.88";"13.15"
"Simples";"Anoitecer";"1921";"176";"2.65";"9.16"
"Dupla";"Plena Noite";"10181";"776";"14.04";"7.62"
"Dupla";"Amanhecer";"1374";"104";"1.89";"7.57"
"Simples";"Pleno dia";"18765";"1374";"25.87";"7.32"
"M�ltipla";"Amanhecer";"270";"18";"0.37";"6.67"
"M�ltipla";"Plena Noite";"2356";"136";"3.25";"5.77"
"M�ltipla";"Anoitecer";"363";"14";"0.5";"3.86"
"Dupla";"Anoitecer";"1642";"63";"2.26";"3.84"
"Dupla";"Pleno dia";"17585";"558";"24.25";"3.17"
"M�ltipla";"Pleno dia";"4025";"117";"5.55";"2.91"
