"uf";"total_acidentes";"acidentes_fatais";"total_mortos";"perc_fatais"
"MA";"1262";"236";"281";"18.7"
"PA";"1117";"193";"224";"17.28"
"RR";"142";"23";"28";"16.2"
"AM";"138";"19";"26";"13.77"
"AL";"629";"86";"96";"13.67"
"TO";"677";"83";"102";"12.26"
"CE";"1302";"153";"171";"11.75"
"BA";"4108";"476";"583";"11.59"
"AC";"280";"29";"29";"10.36"
"PE";"3013";"302";"336";"10.02"
"PI";"1490";"149";"168";"10"
"MS";"1654";"136";"150";"8.22"
"MT";"2636";"204";"243";"7.74"
"GO";"3196";"247";"308";"7.73"
"SE";"589";"44";"51";"7.47"
"MG";"9570";"647";"765";"6.76"
"PR";"7630";"511";"593";"6.7"
"PB";"1978";"127";"142";"6.42"
"RN";"1648";"102";"111";"6.19"
"RO";"1452";"86";"102";"5.92"
"RS";"4899";"275";"327";"5.61"
"ES";"2642";"145";"161";"5.49"
"AP";"169";"9";"14";"5.33"
"RJ";"6428";"306";"330";"4.76"
"SC";"8186";"374";"434";"4.57"
"SP";"4683";"205";"221";"4.38"
"DF";"1011";"43";"47";"4.25"
