"br";"total_acidentes";"total_mortos";"acidentes_fatais";"perc_fatais"
"101";"13014";"760";"682";"5.24"
"116";"11021";"708";"638";"5.79"
"153";"2789";"282";"226";"8.1"
"40";"3502";"214";"180";"5.14"
"163";"2519";"210";"173";"6.87"
"316";"1236";"201";"182";"14.72"
"230";"1745";"192";"168";"9.63"
"381";"3496";"190";"171";"4.89"
"364";"2264";"173";"153";"6.76"
"262";"1769";"169";"148";"8.37"
"277";"2157";"152";"134";"6.21"
"222";"581";"128";"106";"18.24"
"470";"1388";"123";"104";"7.49"
"376";"1762";"121";"114";"6.47"
"232";"830";"105";"99";"11.93"
"135";"559";"105";"82";"14.67"
"282";"1379";"100";"82";"5.95"
"10";"506";"95";"86";"17"
"365";"600";"87";"71";"11.83"
"70";"1084";"86";"75";"6.92"
"158";"683";"82";"72";"10.54"
"60";"1081";"75";"69";"6.38"
"242";"283";"73";"54";"19.08"
"369";"915";"72";"60";"6.56"
"20";"699";"69";"55";"7.87"
"324";"942";"63";"56";"5.94"
"386";"623";"60";"48";"7.7"
"110";"339";"60";"51";"15.04"
"423";"183";"59";"40";"21.86"
"251";"342";"58";"41";"11.99"
